make,model,variant,yearFrom,yearTo,bodyType,doors,seats,engineCode,engineDisplacement,engineCylinders,engineValves,engineFuelType,enginePowerBhp,enginePowerKw,engineTorqueNm,engineAspiration,enginePosition,gearboxType,gears,drivetrain,acceleration0100,topSpeedKph,topSpeedMph,fuelEconomyCombinedMpg,fuelEconomyCombinedL100,fuelEconomyUrbanL100,fuelEconomyExtraUrbanL100,fuelTankLitres,co2Gkm,emissionsStandard,noxMgkm,lengthMm,widthMm,heightMm,wheelbaseMm,weightKg,grossWeightKg,bootLitres,bootLitresMax,tyreFront,tyreRear,brakeFront,brakeRear,batteryKwh,electricRangeKm,chargingKw
FORD,Ford Pinto,2.3L 3MT RWD (90 HP),1971,,,,,,2302,4,,PETROL,89,66,160,,,MANUAL,3,RWD,,154,96,,,,,,,,,4140,1763,1270,2388,1064,,,,,,Ventilated Discs,Drums,,,
FORD,Ford Puma,1.4i 5MT FWD (90 HP),1998,,,,,,1388,4,,PETROL,89,66,122,,,MANUAL,5,FWD,11.9,180,,32.7,7.2,9.5,5.9,42,,,,3980,1669,1341,2451,1009,,238,,195/50Vr15,,Ventilated Discs,Drums,,,
FORD,Ford Puma,1.6i 5MT FWD (103 HP),1998,,,,,,1596,4,,PETROL,102,76,145,,,MANUAL,5,FWD,10.4,190,,32.2,7.3,9.5,6,42,,,,3980,1669,1341,2451,1035,,238,,195/50Vr15,,Ventilated Discs,Drums,,,
FORD,Ford Puma,1.7i 5MT FWD (125 HP),1998,,,,,,1679,4,,PETROL,123,92,157,,,MANUAL,5,FWD,9.2,203,,31.8,7.4,9.7,6.1,42,,,,3980,1669,1341,2451,1008,,238,,195/50Vr15,,Ventilated Discs,Drums,,,
FORD,Ford Puma ST,1.5L EcoBoost 6MT (200 HP),2021,,,,,,1497,3,,PETROL,197,147.1,320,,,MANUAL,6,FWD,6.7,220,137,39.2,6,7.6,5,45,,,,4227,1806,1534,2588,1358,,456,,225/40 R19,,Discs,Drum,,,
FORD,Ford Puma ST,Powershift 1.0L EcoBoost 7AT (170 HP),2021,,,,,,999,3,,PETROL,168,125,200,,,DCT,7,FWD,6.7,220,137,39.2,6,7.6,5,42,,,,4227,1806,1534,2588,1394,,456,,225/40 R19,,Discs,Drum,,,
FORD,Ford Ranger,2.0L 10AT RWD (170 HP),2019,,,,,,1996,4,,DIESEL,168,125,420,,,AUTOMATIC,10,RWD,,,,28.3,8.3,,,,,,,5354,1859,1821,3221,,,,,265/60/R18,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Ranger,2.0L EcoBlue 10AT AWD (213 HP),2019,,,,,,1996,4,,DIESEL,210,156.7,500,,,AUTOMATIC,10,,,180,112,30.5,7.7,,,,,,,5354,1859,1821,3221,2133,,,,265/60/R18,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Ranger,2.3L EcoBoost 10AT AWD (274 HP),2024,,,,,,2300,4,,PETROL,270,201.3,420,,,AUTOMATIC,10,,,,,,,,,71,,,,5349,2202,1890,3269,2003,,1232,,255/70R17 A/T Bsw,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Ranger,2.7L EcoBoost V6 10AT AWD (319 HP),2024,,,,,,2300,4,,PETROL,315,234.9,542,,,AUTOMATIC,10,,,,,,,,,71,,,,5349,2202,1890,3269,,,1232,,255/70R17 A/T Bsw,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Ranger Raptor,3.0L EcoBoost V6 10AT AWD (410 HP),2024,,,,,,2949,6,,PETROL,405,302,583,,,AUTOMATIC,10,,,,,,,,,76,,,,5357,2007,1928,3269,2415,,,,Lt 285/70 R17,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Ranger Raptor,3.0L V6 EcoBoost 10AT AWD (292 HP),2023,,,,,,2956,6,,PETROL,288,214.8,491,,,AUTOMATIC,10,,7.9,180,112,17,13.8,,,79,,,,5359,2027,1925,3269,2454,,,,285/70 R17,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Ranger Raptor,3.0L V6 EcoBoost 10AT AWD (397 HP) (AUS),2023,,,,,,2956,6,,PETROL,392,292,583,,,AUTOMATIC,10,,,,,,,,,79,,,,5359,2027,1925,3269,,,,,285/70 R17,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Ranger Wildtrak X,2.0L EcoBlue 10AT (205 HP),2023,,,,,,,4,,DIESEL,202,150.8,500,,,AUTOMATIC,10,,,,,,,,,,,,,,,,,,,,,,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford S-Max,1.5L EcoBoost 6MT FWD (160 HP),2015,,,,,,1498,4,,PETROL,158,118,240,,,MANUAL,6,FWD,9.9,200,124,36.2,6.5,8,5.6,70,,,,4796,1915,1656,2850,1645,,699,,235/55 R17,,Ventilated Discs,Discs,,,
FORD,Ford S-Max,2.0L EcoBlue 6MT (150 HP),2020,,,,,,1997,4,,DIESEL,148,110.3,,,,MANUAL,6,FWD,,,,48,4.9,5.9,4.4,,,,,4796,1915,1656,2850,,,,,,,Ventilated Discs,Discs,,,
FORD,Ford S-Max,2.0L EcoBlue 8AT (150 HP),2020,,,,,,1997,4,,DIESEL,148,110.3,,,,AUTOMATIC,8,FWD,,,,45.2,5.2,6.1,4.7,,,,,4796,1915,1656,2850,,,,,,,Ventilated Discs,Discs,,,
FORD,Ford S-Max,2.0L EcoBlue 8AT (190 HP),2020,,,,,,1997,4,,DIESEL,187,139.7,,,,AUTOMATIC,8,FWD,,,,46.1,5.1,5.9,4.6,,,,,4796,1915,1656,2850,,,,,,,Ventilated Discs,Discs,,,
FORD,Ford S-Max,2.0L EcoBlue 8AT (240 HP),2020,,,,,,1997,4,,DIESEL,237,176.5,,,,AUTOMATIC,8,FWD,,,,39.9,5.9,7.1,5.2,,,,,4796,1915,1656,2850,,,,,,,Ventilated Discs,Discs,,,
FORD,Ford S-Max,2.0L EcoBlue 8AT AWD (190 HP),2020,,,,,,1997,4,,DIESEL,187,139.7,,,,AUTOMATIC,8,,,,,41.3,5.7,6.8,5.2,,,,,4796,1915,1656,2850,,,,,,,Ventilated Discs,Discs,,,
FORD,Ford S-Max,2.0L EcoBoost 6AT FWD (240 HP),2015,,,,,,1999,4,,PETROL,237,177,340,,,AUTOMATIC,6,FWD,8.4,225,140,29.8,7.9,10.3,6.5,70,,,,4796,1915,1656,2850,1704,,699,,235/55 R17,,Ventilated Discs,Discs,,,
FORD,Ford S-Max,2.0L TDCI 6AT AWD (180 HP),2015,,,,,,1997,4,,DIESEL,178,133,400,,,AUTOMATIC,6,,10.5,206,128,40.6,5.8,6.4,5.4,70,,,,4796,1915,1656,2850,1809,,699,,235/55 R17,,Ventilated Discs,Discs,,,
FORD,Ford S-Max,2.0L TDCI 6AT FWD (150 HP),2015,,,,,,1997,4,,DIESEL,148,110,350,,,AUTOMATIC,6,FWD,10.8,196,122,43.6,5.4,6.1,4.9,70,,,,4796,1915,1656,2850,1733,,699,,235/55 R17,,Ventilated Discs,Discs,,,
FORD,Ford S-Max,2.0L TDCI 6AT FWD (180 HP),2015,,,,,,1997,4,,DIESEL,178,133,400,,,AUTOMATIC,6,FWD,9.5,208,129,43.6,5.4,6.1,4.9,70,,,,4796,1915,1656,2850,1734,,699,,235/55 R17,,Ventilated Discs,Discs,,,
FORD,Ford S-Max,2.0L TDCI 6AT FWD (210 HP),2015,,,,,,1997,4,,DIESEL,207,154,450,,,AUTOMATIC,6,FWD,8.8,217,135,42.8,5.5,6.3,5.1,70,,,,4796,1915,1656,2850,1766,,699,,235/55 R17,,Ventilated Discs,Discs,,,
FORD,Ford S-Max,2.0L TDCI 6MT AWD (150 HP),2015,,,,,,1997,4,,DIESEL,148,110,350,,,MANUAL,6,,12.1,196,122,43.6,5.4,6.1,4.9,70,,,,4796,1915,1656,2850,1784,,699,,235/55 R17,,Ventilated Discs,Discs,,,
FORD,Ford S-Max,2.0L TDCI 6MT FWD (120 HP),2015,,,,,,1997,4,,DIESEL,118,88,310,,,MANUAL,6,FWD,13.4,183,114,47,5,5.6,4.6,70,,,,4796,1915,1656,2850,1725,,699,,235/55 R17,,Ventilated Discs,Discs,,,
FORD,Ford S-Max,2.0L TDCI 6MT FWD (150 HP),2015,,,,,,1997,4,,DIESEL,148,110,350,,,MANUAL,6,FWD,10.8,198,123,47,5,5.6,4.6,70,,,,4796,1915,1656,2850,1725,,699,,235/55 R17,,Ventilated Discs,Discs,,,
FORD,Ford S-Max,2.0L TDCI 6MT FWD (180 HP),2015,,,,,,1997,4,,DIESEL,178,133,400,,,MANUAL,6,FWD,9.7,211,131,47,5,5.6,4.6,70,,,,4796,1915,1656,2850,1726,,699,,235/55 R17,,Ventilated Discs,Discs,,,
FORD,Ford Taurus SHO,3.5L V6 EcoBoost 6AT (365 HP),2010,,,,,,3496,6,,PETROL,365,272,475,,,AUTOMATIC,6,,6.2,214,133,22.6,10.4,16,9.5,71,,,,5154,1935,1542,2868,1981,,569,,255/45 R19,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Transit Connect Wagon - North American version,2.0L GDI 8AT (150 HP),2018,,,,,,1999,4,,PETROL,148,110.3,195,,,,,,,,,26,9,9.8,8.1,59,,,,4826,2136,1819,3063,1823,,1702,,215/55R16 97H A/S,,Ventilated Discs,Solid Discs,,,
FORD,Ford Turneo Custom,2.0L TDCi 6AT (130 HP),2017,,,,,,1995,4,,DIESEL,128,95.6,385,,,AUTOMATIC,6,FWD,,159,99,33.1,7.1,7.7,6.5,70,,,,4973,2032,1979,2934,2366,,1150,,215/65 R16,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Turneo Custom,2.0L TDCi 6AT (170 HP),2017,,,,,,1995,4,,DIESEL,168,125,405,,,AUTOMATIC,6,FWD,,175,109,33.1,7.1,7.7,6.5,70,,,,4973,2032,1979,2934,2400,,1150,,215/65 R16,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Turneo Custom,2.0L TDCi 6MT (105 HP),2017,,,,,,1995,4,,DIESEL,104,77.2,360,,,MANUAL,6,FWD,,150,93,37.3,6.3,7.2,5.8,70,,,,4973,2032,1979,2934,2318,,1150,,215/65 R16,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Turneo Custom,2.0L TDCi 6MT (130 HP),2017,,,,,,1995,4,,DIESEL,128,95.6,385,,,MANUAL,6,FWD,,159,99,37.3,6.3,7.2,5.8,70,,,,4973,2032,1979,2934,2318,,1150,,215/65 R16,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Turneo Custom,2.0L TDCi 6MT (170 HP),2017,,,,,,1995,4,,DIESEL,168,125,405,,,MANUAL,6,FWD,,175,109,36.2,6.5,7.3,6.1,70,,,,4973,2032,1979,2934,2352,,1150,,215/65 R16,,Ventilated Discs,Ventilated Discs,,,
FORD,Freestar,3.9L V6 4AT FWD (194 HP),2003,2007,,,,,3802,6,,PETROL,190,142,325,,,AUTOMATIC,4,FWD,,,,,,,,98,,,,5105,1946,1748,3068,1939,,3664,,225/60 R16,,Ventilated Discs,Ventilated Discs,,,
FORD,Freestar,4.2L V6 4AT FWD (201 HP),2003,2007,,,,,4195,6,,PETROL,198,148,357,,,AUTOMATIC,4,FWD,,,,,,,,98,,,,5105,1946,1748,3068,,,3664,,225/60 R16,,Ventilated Discs,Ventilated Discs,,,
FORD,Freestyle,3.0L V6 24V CVT AWD (206 HP),2004,2007,,,,,2967,6,,PETROL,200,149.3,281,,,CVT,,FWD,,180,112,22.9,10.3,12.4,8.7,,,,,5075,1890,1674,2868,1865,,631,,215-225/65-60R17-18,,Ventilated Discs,Discs,,,
